rank,title,author,publisher
1,공부머리 독서법, 최승필,책구루
2,철학은 어떻게 삶의 무기가 되는가, 야마구치 슈,다산초당
3,아주 작은 습관의 힘, 제임스 클리어,비즈니스북스
4,설민석의 한국사 대모험 9, 설민석,아이휴먼
5,고요할수록 밝아지는 것들, 혜민,수오서재
6,탐구가 즐거워지는 명랑사회 세이펜버젼 (본책64권), 이수출판출판부,이수(전집)
7,추리 천재 엉덩이 탐정 7, 트롤,아이세움
8,에어프라이어 만능 레시피북, 강지현,엔트리
9,쓰레기처럼 사랑하라, 김달,비사이드
10,말센스, 셀레스트 헤들리,스몰빅라이프
11,나는 나로 살기로 했다, 김수현,마음의숲
12,추리 천재 엉덩이 탐정 6, 트롤,아이세움
13,추리 천재 엉덩이 탐정 1, 트롤,아이세움
14,13번째 증언, 윤지오,가연
15,가장 예쁜 생각을 너에게 주고 싶다, 나태주,알에이치코리아
16,추리 천재 엉덩이 탐정 2, 트롤,아이세움
17,인어가 잠든 집, 히가시노 게이고,재인
18,추리 천재 엉덩이 탐정 3, 트롤,미래엔아이세움
19,수미네 반찬, 김수미,성안당
20,추리 천재 엉덩이 탐정 5, 트롤,아이세움
21,추리 천재 엉덩이 탐정 4, 트롤,아이세움
22,꽃을 보듯 너를 본다, 나태주,지혜
23,아이의 떼 거부 고집을 다.루.다, 정유진,미스터제이
24,해커스 토익 기출 보카, David Cho,해커스어학연구소
25,스즈키 바이올린 교본 1, 세광음악 편집부,세광음악출판사
