<랭킹: 많이 본 뉴스>
[정치]
Title,Newspaper,Views
1,"이총리 ""최저임금 인상에 명암…뼈아프고 대단히 죄송""(종합)",연합뉴스,"153,418"
2,"'팔로워 176만' 文, 트위터 CEO 만나 ""소통, 이 시대 가장 필요""",뉴시스,"34,809"
3,"김용옥 ""이승만 묘지서 파내야"" 발언 논란…KBS ""반론도 소개""(종합2보)",연합뉴스,"14,154"
4,"""유시춘 아들 마약밀수 징역형에 '유시민 조카'가 왜 나와""",이데일리,"11,095"
5,"정부, '이산가족 화상상봉'에 남북협력기금 31억 지원",뉴스1,"10,686"
[경제]
Title,Newspaper,Views
1,[단독] 한진칼 손 들어준 법원···KCGI 제안 안건 주총에서 논의 못한다,서울경제,"29,187"
2,[이 시각 뉴스룸] 전두환 자택 공매…'반값' 51억여 원에 낙찰 ,JTBC,"8,032"
3,‘규제 덫’에 프랜차이즈 산업 고사 위기,세계일보,"5,540"
4,약발 떨어진 초교 프리미엄… 분양권 수억 ‘뚝’,디지털타임스,"5,097"
5,현대차 노조의 끝없는 '무리수',한국경제,"4,724"
[사회]
Title,Newspaper,Views
1,버닝썬·경찰 유착 수사전선 넓히는 경찰…관계자 줄줄이 입건,이데일리,"88,698"
2,'김학의 사건' 성폭행·불법촬영 놓고 진실게임,한국경제,"73,376"
3,"""아들, 내일 봐""가 마지막 인사…한 가정 행복 앗아간 음주뺑소니 ",뉴시스,"34,552"
4,"승리 변호인 ""승리 '잘 주는 애들' 카카오톡은 '노는 애들' 잘못 쓴 것""",한국경제,"32,682"
5,어른들을 부끄럽게 한 11세의 '노키즈존' 질문,중앙일보,"23,605"
[생활/문화]
Title,Newspaper,Views
1,[날씨] 퇴근길 찬바람에 '쌀쌀'…밤부터 '한파주의보',SBS,"140,410"
2,"익산 미륵사지 석탑 부실복원 논란, 문화재청 ""안전성 점검하겠다""",뉴시스,"12,574"
3,꽃샘추위에 중부 한파주의보…내일 아침 곳곳 영하권,연합뉴스,"5,421"
4,유시춘 EBS 이사장 아들 마약밀매로 구속…부실검증 논란,SBS,"2,542"
5,34살 쏘나타 `스마트 모빌리티`로 재탄생,매일경제,"1,709"
[세계]
Title,Newspaper,Views
1,“한국에 몰카 전염병” 외신도 대서특필한 '모텔 불법촬영',중앙일보,"87,895"
2,[무기와 표적] 세계에서 한국산 무기 가장 많이 사는 '동남아의 맹주',한국일보,"81,182"
3," 미국, 러시아 동서 국경에서 ‘핵폭격기’ 시위…‘신냉전’ 도래하나 ",한겨레,"23,816"
4,[Pick] 거대한 파도에 '꿀꺽'…해변에서 사진 찍다 죽을 뻔한 관광객,SBS,"8,598"
5,"北의전 책임자 김창선, 모스크바 방문…'김정은 방러' 논의 관측(종합)",연합뉴스,"8,440"
[IT/과학]
Title,Newspaper,Views
1,"애플, '에어팟 2세대' 발표",블로터,"3,692"
2,"이진한 교수 ""포항지진 경고 논문 내자, 지열발전측이 제소""",중앙일보,"3,490"
3,"10명 중 9명 사망 '췌장암', 말라리아 치료제로 잡는다",중앙일보,"2,831"
4,수압 얼마나 셌길래…“강철로 된 지열정 구멍 뚫려”,KBS,"2,148"
5,신제품 쏟아내는 애플… 내친김에 에어파워 공개하나,머니S,"1,340"
